business_id,name,address,city,state,postal_code,phone_number,latitude,longitude
a2j0f000001XRwNAAW,Bay Thorn Public School,201 Bay Thorn Drive,Markham,Ontario,L3T 3V2,(905) 889-7992,43.827152954756805,-79.4206271236871
a2j0f000001XS5tAAG,Newmarket Welcome Centre - Child Minding,26 - 16655  Yonge Street,Newmarket,Ontario,L3X 1V6,(289) 841-3066,44.035504,-79.47321
a2j0f000001XSwTAAW,Easy Tea,18 - 9325  Yonge Street,Richmond Hill,Ontario,L4C 0A8,(905) 237-3279,43.8566184827892,-79.4293007925391
a2j0f000001XSG4AAO,Chengdu Wonton,1 - 328  Highway 7 E,Richmond Hill,Ontario,L4B 3P7,(905) 762-9588,43.8416455202118,-79.39997992092098
a2j0f000001XUDgAAO,Frank's Place,7 - 10  Strada Drive,Vaughan,Ontario,L4L 5W1,(416) 898-7494,43.78068601605386,-79.57106949406023
a2j0f000001XUhvAAG,New Al-Habib Grocers,106 - 2860  Denison Street,Markham,Ontario,L3S 4T6,(905) 201-6455,43.841561120633024,-79.2657589147723
a2j0f000001XeCvAAK,Chun Yang Tea House,111 - 3601  Highway 7 East,Markham,Ontario,L3R 0M3,(647) 985-2041,43.85388054231208,-79.33850278763232
a2j0f000001XgkMAAS,Cedarwood Public School,399 Elson Street,Markham,Ontario,L3S 4R8,905-294-5756,43.844429022633776,-79.24445997637146
a2j0f000001XdgLAAS,Full Fresh Supermarket,259-293 - 9390  Woodbine Avenue,Markham,Ontario,L6C 0M5,(905)534-8896,43.87195100877712,-79.36471908226692
a2j0f000001XfXAAA0,Armadale Public School,11 Coppard Avenue,Markham,Ontario,L3S 2J4,(905) 472-4050,43.83706168817282,-79.2726535205485
a2j4R000001QXy0QAG,Templeman's Toffees,A - 260  Pefferlaw Road,Georgina,Ontario,L0E 1N0,(905) 243-1064,44.314796,-79.200815
a2j4R000001QXY1QAO,Wilclay Public School,60 Wilclay Avenue,Markham,Ontario,L3S 1R4,(905) 470-1447,43.83314870936055,-79.28274865867263
a2j0f000001XZHXAA4,King Groceries & Halal Meat,10-12 - 9699  Jane Street,Vaughan,Ontario,L6A 0A4,(905) 832-2713,43.84515821504647,-79.5352784676888
a2j0f000001XZCSAA4,Canadian Food and Wine Institute at the Aurora Armoury,89  Mosley Street,Aurora,Ontario,L4G 1V9,,43.998837876272454,-79.46190350129618
a2j0f000001XcsiAAC,SoSweet,12 - 90  Esna Park Drive,Markham,Ontario,L3R 2R7,(647) 993-7076,43.827618,-79.338625
a2j0f000001XjQ5AAK,Hickory Farms,1  Bass Pro Mills Drive,Vaughan,Ontario,L4K 5W4,(905) 669-5929,43.825724132025066,-79.53832054757372
a2j4R000001QcTQQA0,Spros2go Cafe & Lounge,155 - 7777  Weston Road,Vaughan,Ontario,L4L 0G9,(416) 523-3773,43.791020039525414,-79.54621741615246
a2j4R000001QbzTQAS,K&K Kitchen,22A - 1111  Davis Drive,Newmarket,Ontario,L3Y 8X2,(905) 235-0089,44.06710006533187,-79.42962261156305
a2j0f0000011IPgAAM,Buk Chang Dong Soon Tofu,202C - 9737  Yonge Street,Richmond Hill,Ontario,L4C 8S7,(905) 237-1009,43.86505240970967,-79.43473173661286
a2j0f000000JSjaAAG,Lanna Cuisine,J105 - 170  Enterprise Boulevard,Markham,Ontario,L6G 0E6,(905) 604-9090,43.84975211779702,-79.32423223865287
a2j0f0000003TX4AAM,Greek Stop,A4 - 15380  Bayview Avenue,Aurora,Ontario,L4G 7J1,(416) 500-1915,44.00814822026668,-79.44526607549759
a2j0f0000003sulAAA,Angelina's Place,5A - 219  Connie Crescent,Vaughan,Ontario,L4K 1L4,(416) 505-7383,43.81911682503639,-79.48536934035963
a2j0f000000jWGwAAM,Sura Korean Cuisine,2 - 4580  Highway 7 East,Markham,Ontario,L3R 1M5,(905) 604-9177,43.86261267559417,-79.30649327032235
a2j0f000000IBrtAAG,Burrito Zone,25a - 2300  John Street,Markham,Ontario,L3T 6G7,(905) 763-1190,43.82327666895613,-79.36942929394617
a2j0f000000IBreAAG,Zanzong E - Sport Club,P1-10 - 505  Highway 7 East,Markham,Ontario,L3T 7T1,(905) 707-028,43.84254040798193,-79.3867085769119
