date,type,business_id
20191028,Required,a2j0f0000015NZqAAM
20191031,Required,a2j0f0000015MCgAAM
20191028,Required,a2j0f0000015Na3AAE
20191028,Required,a2j0f0000008NquAAE
20191028,Required,a2j0f0000015MCXAA2
20191028,Required,a2j0f000001HpQFAA0
20191028,Required,a2j0f000001XRwNAAW
20191028,Required,a2j0f000001XS5tAAG
20191028,Required,a2j0f0000015MS6AAM
20191028,Required,a2j0f0000008LoPAAU
20191028,Required,a2j0f0000003Yi9AAE
20191028,Required,a2j0f000000jVfCAAU
20191028,Required,a2j0f0000015MqxAAE
20191028,Required,a2j0f0000015L1hAAE
20191028,Follow-up,a2j0f0000003YkPAAU
20191028,Required,a2j0f0000015MOQAA2
20191028,Required,a2j0f0000015MdlAAE
20191028,Required,a2j0f0000015MohAAE
20191028,Required,a2j0f000001XSwTAAW
20191028,Required,a2j0f0000003vkDAAQ
20191028,Required,a2j0f0000015MW4AAM
20191028,Required,a2j0f0000015NJ6AAM
20191028,Required,a2j0f0000015L62AAE
20191028,Required,a2j0f0000015L3yAAE
20191028,Required,a2j0f0000015MVLAA2
20191028,Required,a2j0f0000015MyzAAE
20191028,Required,a2j0f0000015NylAAE
20191028,Required,a2j0f0000015KqnAAE
20191028,Required,a2j0f000001XSG4AAO
20191028,Required,a2j0f0000015M4gAAE
20191028,Required,a2j0f000001MF01AAG
20191028,Required,a2j0f0000015MYbAAM
20191028,Required,a2j0f0000015N5tAAE
20191129,Required,a2j0f0000008O14AAE
20191028,Required,a2j0f0000015MyFAAU
20191028,Required,a2j0f000001MzfqAAC
20191028,Required,a2j0f0000015Lt6AAE
20191028,Required,a2j0f000001XUDgAAO
20191028,Required,a2j0f0000019LjLAAU
20191028,Required,a2j0f0000003sulAAA
20191028,Required,a2j0f0000015N8nAAE
20191028,Required,a2j0f0000015Ne0AAE
20191031,Follow-up,a2j0f0000015MyFAAU
20191028,Required,a2j0f000000Rz38AAC
20191028,Required,a2j0f0000015MZAAA2
20191028,Required,a2j0f0000019NNMAA2
20191028,Follow-up,a2j0f0000015KviAAE
20191028,Required,a2j0f0000008MF2AAM
20191028,Required,a2j0f000000yrYTAAY
20191028,Required,a2j0f0000010zY8AAI
20191029,Follow-up,a2j0f0000015KveAAE
20191030,Follow-up,a2j0f0000015LAkAAM
20191029,Follow-up,a2j0f0000019LjLAAU
20191028,Required,a2j0f0000015MgKAAU
20191028,Required,a2j0f0000015O1jAAE
20191028,Required,a2j0f0000015LFxAAM
20191030,Follow-up,a2j0f0000003vkDAAQ
20191105,Required,a2j0f0000015NQSAA2
20191028,Required,a2j0f0000015MrZAAU
20191028,Required,a2j0f0000015NtfAAE
20191028,Required,a2j0f0000015KveAAE
20191030,Required,a2j0f0000015MTNAA2
20191030,Required,a2j0f0000015LIDAA2
20191030,Required,a2j0f0000015MQ9AAM
20191030,Required,a2j0f0000015MPEAA2
20191104,Follow-up,a2j0f0000015MXgAAM
20191030,Required,a2j0f000001XeCvAAK
20191030,Required,a2j0f0000015L7uAAE
20191030,Required,a2j0f0000015MdZAAU
20191128,Required,a2j0f0000015OKrAAM
20191101,Follow-up,a2j0f0000015L7uAAE
20191101,Required,a2j0f0000003gj6AAA
20191106,Follow-up,a2j0f0000015MPEAA2
20191030,Required,a2j0f0000015MEIAA2
20191104,Follow-up,a2j0f0000015MnPAAU
20191031,Required,a2j0f0000015MkpAAE
20191031,Required,a2j0f0000015NwmAAE
20191031,Required,a2j0f0000015MnPAAU
20191031,Required,a2j0f000000RySlAAK
20191212,Required,a2j0f0000015LzJAAU
20191031,Required,a2j0f0000015MzxAAE
20191031,Required,a2j0f000001XgkMAAS
20191031,Required,a2j0f00000034rfAAA
20191031,Required,a2j0f0000015L6kAAE
20191031,Required,a2j0f0000015MHPAA2
20191105,Follow-up,a2j0f000001XgkMAAS
20191031,Required,a2j0f0000015NxCAAU
20191031,Required,a2j0f000000JeUkAAK
20191101,Required,a2j0f000001HxwvAAC
20191031,Required,a2j0f000001MRjmAAG
20191031,Follow-up,a2j0f000000SOUZAA4
20191102,Follow-up,a2j0f000001HxwvAAC
20191101,Required,a2j0f0000015LJKAA2
20191030,Required,a2j0f000000J2jBAAS
20191030,Required,a2j0f0000015L44AAE
20191030,Required,a2j0f0000015LFcAAM
20191030,Required,a2j0f0000015NXqAAM
20191030,Required,a2j0f0000015KrmAAE
20191030,Required,a2j0f0000015MCQAA2
20191030,Required,a2j0f0000015MDsAAM
20191030,Required,a2j0f0000015MXgAAM
20191030,Required,a2j0f000000z5QtAAI
20191108,Required,a2j0f0000015MDYAA2
20191030,Required,a2j0f0000015Ku8AAE
20191030,Required,a2j0f0000010zdDAAQ
20191030,Required,a2j0f0000015NwcAAE
20191030,Required,a2j0f0000015KoAAAU
20191030,Required,a2j0f0000015LNcAAM
20191030,Required,a2j0f000001NNYiAAO
20191030,Required,a2j0f000001B9goAAC
