date,business_id,description
20171113,a2j0f0000015NaUAAU,Restaurant: Fail to use equipment/utensil(s)/dishware readily cleanable or in good repair - Not In Compliance
20171113,a2j0f0000015NmZAAU,Child Care Catered: Fail to maintain hazardous foods at an internal temperature 4°C (40°F) or lower - Corrected During Inspection
20171113,a2j0f0000015NaUAAU,Restaurant: Fail to ensure room kept free from materials/equipment not regularly used - Not In Compliance
20171113,a2j0f0000015NmZAAU,Child Care Catered: Fail to provide a sanitizing test reagent to verify the concentration of the chemical agent being used - Corrected During Inspection
20171113,a2j0f0000015Lq8AAE,Restaurant: Fail to protect food from contamination or adulteration - Corrected During Inspection
20171113,a2j0f0000015MGiAAM,Cooking School: Fail to provide thermometer in temperature controlled room/compartment used to store hazardous food - Not In Compliance
20171113,a2j0f0000015LevAAE,Restaurant: Fail to maintain dishwasher wash water between 60°C and 71°C - Not In Compliance
20171113,a2j0f0000015Nu0AAE,Food Take Out: Fail to store or transport food in containers to prevent contamination - Corrected During Inspection
20171113,a2j0f0000015Nu0AAE,Food Take Out: Fail to ensure ceiling of food handling room kept clean and in good repair - Not In Compliance
20171113,a2j0f0000015MEBAA2,Restaurant: Fail to maintain all surfaces clean and in good repair - Not In Compliance
20171113,a2j0f0000015MEBAA2,Restaurant: Fail to provide a sanitizing test reagent to verify the concentration of the chemical agent being used - Not In Compliance
20171113,a2j0f0000015MkoAAE,Restaurant: Fail to ensure ceiling of food handling room kept clean and in good repair - Not In Compliance
20171113,a2j0f0000015N28AAE,Restaurant: Fail to protect food from contamination or adulteration - Corrected During Inspection
20171113,a2j0f0000015MEBAA2,Restaurant: Fail to ensure floor of food handling room kept clean and in good repair - Not In Compliance
20171113,a2j0f0000015MkoAAE,Restaurant: Fail to ensure room kept free from materials/equipment not regularly used - Not In Compliance
20171113,a2j0f0000015NN0AAM,Restaurant: Fail to provide racks or shelves for food storage - Corrected During Inspection
20171113,a2j0f0000015NN0AAM,Restaurant: Fail to ensure ceiling of food handling room kept clean and in good repair - Not In Compliance
20171113,a2j0f0000015LrbAAE,Cafeteria: Fail to use basin only for handwashing of employees - Corrected During Inspection
20171113,a2j0f0000015MOTAA2,Restaurant: Fail to use equipment/utensil(s)/dishware readily cleanable or in good repair - Not In Compliance
20171113,a2j0f0000015MK3AAM,Restaurant: Fail to ensure floor of food handling room kept clean and in good repair - Not In Compliance
20171113,a2j0f0000015NpoAAE,Child Care Onsite Prep: Fail to maintain ventilation system in a clean and sanitary manner - Not In Compliance
20171113,a2j0f0000015MFZAA2,Restaurant: Fail to ensure wiping cloths are handled properly - Corrected During Inspection
20171113,a2j0f0000015MFZAA2,Restaurant: Operator fails to produce food handler certificate and photo identification - Not In Compliance
20171113,a2j0f0000015MFZAA2,Restaurant: Operator of a high-risk food premises fails to ensure that at least (1) certified food handler is present at all times during operation - Not In Compliance
20171113,a2j0f0000008LnWAAU,Restaurant: Fail to ensure ceiling of food handling room kept clean and in good repair - Not In Compliance
20171113,a2j0f0000008LnWAAU,Restaurant: Fail to maintain all surfaces clean and in good repair - Corrected During Inspection
20171113,a2j0f0000015LTAAA2,Food Take Out: Fail to cover hazardous food to prevent contamination - Corrected During Inspection
20171113,a2j0f0000015LTAAA2,Food Take Out: Fail to store food 15 cm off the floor to prevent contamination - Corrected During Inspection
20171113,a2j0f0000015LTAAA2,"Food Take Out: Fail to maintain cutting boards, blocks, tables or bowls in a clean and sanitary manner - Corrected During Inspection"
20171113,a2j0f0000015NseAAE,Restaurant: Fail to provide easily readable accurate thermometer - Not In Compliance
20171113,a2j0f0000015NseAAE,Restaurant: Fail to ensure floor of food handling room kept clean and in good repair - Not In Compliance
20171113,a2j0f0000015NseAAE,Restaurant: Fail to use utensils to avoid hand contact with food - Corrected During Inspection
20171114,a2j0f0000015NghAAE,Restaurant: Fail to spray / rinse large utensils with chemical solution at double strength - Corrected During Inspection
20171114,a2j0f0000015KySAAU,Food Plant / Production - York Region: Fail to ensure ceiling of food handling room kept clean and in good repair - Not In Compliance
20171114,a2j0f0000015LiRAAU,Restaurant: Fail to operate food premise in a manner to permit cleaning / sanitary maintenance of walls - Not In Compliance
20171114,a2j0f0000015LiRAAU,Restaurant: Fail to ensure room kept free from materials/equipment not regularly used - Not In Compliance
20171114,a2j0f0000015MKeAAM,Restaurant: Fail to cover hazardous food to prevent contamination - Corrected During Inspection
20171114,a2j0f0000015MKeAAM,Restaurant: Fail to use equipment/utensil(s)/dishware free of cracks or open seams - Not In Compliance
20171114,a2j0f0000015MCHAA2,"Restaurant: Fail to use the wash, rinse, sanitize technique - Corrected During Inspection"
20171114,a2j0f0000015MCHAA2,Restaurant: Fail to maintain ventilation system in a clean and sanitary manner - Not In Compliance
20171114,a2j0f0000015NmqAAE,Restaurant: Fail to spray / rinse large utensils with chemical solution at double strength - Corrected During Inspection
20171114,a2j0f0000015L5fAAE,Food Take Out: Fail to use basin only for handwashing of employees - Corrected During Inspection
20171114,a2j0f0000015NA7AAM,Food Take Out: Fail to ensure wall of food-handling room kept clean and in good repair - Not In Compliance
20171114,a2j0f0000015NddAAE,Restaurant: Certified food handler fails to produce food handler certificate and photo identification - Not In Compliance
20171114,a2j0f0000008LoPAAU,Restaurant: Fail to maintain dishwasher wash water between 60°C and 71°C - Not In Compliance
20171114,a2j0f0000008LoPAAU,Restaurant: Fail to maintain hot water sanitizer at 82°C or greater for at least 10 seconds - Not In Compliance
20171123,a2j0f0000008LoPAAU,Restaurant: Fail to maintain hot water sanitizer at 82°C or greater for at least 10 seconds - Not In Compliance
20171114,a2j0f0000015L2wAAE,Retirement Home: Fail to maintain all surfaces clean and in good repair - Not In Compliance
20171114,a2j0f0000015MFfAAM,Restaurant: Fail to use basin only for handwashing of employees - Corrected During Inspection
20171114,a2j0f0000015MFfAAM,Restaurant: Fail to store utensils in manner preventing contamination - Corrected During Inspection
20171114,a2j0f0000015MwEAAU,Food Take Out: Fail to use basin only for handwashing of employees - Corrected During Inspection
20171114,a2j0f0000015MwEAAU,Food Take Out: Fail to store utensils in manner preventing contamination - Corrected During Inspection
20171114,a2j0f0000015LxxAAE,Restaurant: Fail to maintain food premises with tight / smooth / non-absorbent floor surface - Not In Compliance
20171114,a2j0f0000015LlmAAE,Restaurant: Hazardous food improperly thawed - Corrected During Inspection
20171114,a2j0f0000015LlmAAE,Restaurant: Fail to cover all food in storage - Corrected During Inspection
20171114,a2j0f0000015MunAAE,Restaurant: Fail to use basin only for handwashing of employees - Corrected During Inspection
20171114,a2j0f0000015MunAAE,Restaurant: Fail to maintain all surfaces clean and in good repair - Not In Compliance
20171114,a2j0f0000015MunAAE,Restaurant: Fail to maintain ventilation system in a clean and sanitary manner - Not In Compliance
20171114,a2j0f0000015MunAAE,Restaurant: Fail to protect food from contamination or adulteration - Corrected During Inspection
20171114,a2j0f0000015LlXAAU,Restaurant: Fail to cover all food in storage - Corrected During Inspection
20171114,a2j0f0000015Km0AAE,Restaurant: Fail to maintain dishwasher wash water between 60°C and 71°C - Not In Compliance
20171114,a2j0f0000015Km0AAE,Restaurant: Fail to provide soap in a dispenser in the food preparation area - Corrected During Inspection
20171115,a2j0f0000015NL4AAM,Restaurant: Fail to spray / rinse large utensils with chemical solution at double strength - Corrected During Inspection
20171115,a2j0f0000015MLKAA2,Bakery - Production: Fail to provide sufficient detergent or chemicals for washing or sanitizing - Corrected During Inspection
